demanda_dia;demanda_fecha_dia;demanda_hora;temperatura_grados_centigrados_momento_demanda;demanda_potencia_ mega_watt;;ARCHIVO MARZO - ABRIL;;;;ARCHIVO ENERO SEPTIEMBRE;;;
jueves;22/02/2018;13:00;27,9;854;jueves;22/02/2018;21:15;34,7;926;22/02/2018;21:15;34,7;926
viernes;23/02/2018;21:30;23,7;745;viernes;23/02/2018;13:00;27,9;854;23/02/2018;13:00;27,9;854
sabado;24/02/2018;22:00;28,4;720;sabado;24/02/2018;21:30;23,7;745;24/02/2018;21:30;23,7;745
domingo;25/02/2018;21:00;32,3;871;domingo;25/02/2018;22:00;28,4;720;25/02/2018;22:00;28,4;720
lunes;26/02/2018;13:00;29,9;767;lunes;26/02/2018;21:00;32,3;871;26/02/2018;21:00;32,3;871
martes;27/02/2018;21:15;28;810;martes;27/02/2018;13:00;29,9;767;27/02/2018;13:00;29,9;767
;;;;;miercoles;28/02/2018;21:15;28;810;28/02/2018;21:15;28;810
;;;;;jueves;01/03/2018;20:45;32,7;849;01/03/2018;20:45;32,7;849
;;;;;viernes;02/03/2018;21:00;34,5;898;02/03/2018;21:00;34,5;898
;;;;;sabado;03/03/2018;21:00;35,8;843;03/03/2018;21:00;35,8;843
;;;;;domingo;04/03/2018;21:15;33,4;823;04/03/2018;21:15;33,4;823
;;;;;lunes;05/03/2018;20:45;27,4;839;05/03/2018;20:45;27,4;839
;;;;;martes;06/03/2018;21:00;29,9;850;06/03/2018;21:00;29,9;850
;;;;;miercoles;07/03/2018;20:45;32,3;897;07/03/2018;20:45;32,3;897
;;;;;jueves;08/03/2018;20:45;33,8;878;08/03/2018;20:45;33,8;878
;;;;;viernes;09/03/2018;20:45;35,1;928;09/03/2018;20:45;35,1;928
;;;;;sabado;10/03/2018;1:00;26,6;785;10/03/2018;1:00;26,6;785
;;;;;domingo;11/03/2018;21:15;26,5;721;11/03/2018;21:15;26,5;721
;;;;;lunes;12/03/2018;20:45;31,5;840;12/03/2018;20:45;31,5;840
;;;;;martes;13/03/2018;20:45;26;813;13/03/2018;20:45;26;813
;;;;;miercoles;14/03/2018;21:00;31,5;843;14/03/2018;21:00;31,5;843
;;;;;jueves;15/03/2018;20:30;25,3;808;15/03/2018;20:30;25,3;808
;;;;;viernes;16/03/2018;20:30;31,8;852;16/03/2018;20:30;31,8;852
;;;;;sabado;17/03/2018;20:30;33;799;17/03/2018;20:30;33;799
;;;;;domingo;18/03/2018;21:15;23;724;18/03/2018;21:15;23;724
;;;;;lunes;19/03/2018;21:15;28,4;808;19/03/2018;21:15;28,4;808
;;;;;martes;20/03/2018;20:45;23,3;817;20/03/2018;20:45;23,3;817
;;;;;miercoles;21/03/2018;21:00;25,3;812;21/03/2018;21:00;25,3;812
;;;;;jueves;22/03/2018;20:15;30,7;832;22/03/2018;20:15;30,7;832
;;;;;viernes;23/03/2018;20:15;32,7;849;23/03/2018;20:15;32,7;849
;;;;;sabado;24/03/2018;20:45;23,9;735;24/03/2018;20:45;23,9;735
;;;;;domingo;25/03/2018;21:15;23,2;700;25/03/2018;21:15;23,2;700
;;;;;lunes;26/03/2018;21:15;24,7;791;26/03/2018;21:15;24,7;791
;;;;;martes;27/03/2018;21:00;28,1;803;27/03/2018;21:00;28,1;803
;;;;;miercoles;28/03/2018;20:15;32,2;811;28/03/2018;20:15;32,2;811
;;;;;jueves;29/03/2018;20:15;31,9;802;29/03/2018;20:15;31,9;802
;;;;;viernes;30/03/2018;21:15;32,2;721;30/03/2018;21:15;32,2;721
;;;;;sabado;31/03/2018;20:15;31,8;780;31/03/2018;20:15;31,8;780
